iter	Passed	Remaining
776	51056	113217
777	51131	113172
778	51205	113124
779	51283	113085
780	51371	113069
781	51447	113027
782	51520	112977
783	51597	112935
784	51666	112877
785	51737	112821
786	51828	112810
787	51899	112757
788	51978	112719
789	52061	112690
790	52135	112641
791	52196	112564
792	52293	112567
793	52385	112555
794	52443	112472
795	52501	112390
796	52564	112318
797	52621	112232
798	52677	112146
799	52734	112059
800	52791	111976
801	52847	111888
802	52902	111800
803	52959	111716
804	53042	111685
805	53120	111646
806	53196	111600
807	53297	111607
808	53376	111569
809	53449	111517
810	53524	111471
811	53599	111423
812	53675	111378
813	53752	111335
814	53822	111276
815	53897	111229
816	53970	111177
817	54049	111138
818	54122	111086
819	54199	111042
820	54270	110987
821	54352	110952
822	54425	110900
823	54497	110847
824	54585	110825
825	54690	110837
826	54770	110799
827	54841	110742
828	54912	110686
829	54989	110642
830	55065	110594
831	55138	110542
832	55214	110494
833	55294	110455
834	55366	110402
835	55442	110354
836	55514	110299
837	55591	110254
838	55665	110203
839	55741	110156
840	55813	110101
841	55881	110036
842	55959	109994
843	56034	109944
844	56110	109896
845	56192	109860
846	56277	109831
847	56360	109796
848	56437	109750
849	56510	109697
850	56587	109650
851	56650	109577
852	56716	109510
853	56781	109440
854	56846	109370
855	56911	109302
856	56983	109246
857	57047	109173
858	57120	109120
859	57186	109052
860	57265	109009
861	57327	108936
862	57387	108857
863	57453	108788
864	57511	108706
865	57566	108618
866	57627	108540
867	57685	108458
868	57750	108390
869	57808	108307
870	57865	108222
871	57921	108137
872	57981	108058
873	58037	107974
874	58099	107898
875	58164	107830
876	58220	107743
877	58275	107657
878	58336	107581
879	58394	107499
880	58451	107414
881	58510	107336
882	58570	107256
883	58628	107175
884	58685	107092
885	58745	107014
886	58801	106930
887	58856	106843
888	58917	106766
889	58975	106685
890	59032	106602
891	59091	106523
892	59147	106439
893	59205	106358
894	59263	106277
895	59320	106194
896	59376	106109
897	59435	106030
898	59493	105950
899	59552	105870
900	59609	105787
901	59667	105707
902	59727	105631
903	59784	105548
904	59841	105466
905	59898	105384
906	59959	105310
907	60018	105230
908	60076	105150
909	60137	105074
910	60200	105003
911	60258	104923
912	60321	104853
913	60385	104782
914	60445	104705
915	60502	104624
916	60560	104544
917	60619	104466
918	60676	104384
919	60734	104304
920	60790	104221
921	60850	104144
922	60906	104062
923	60967	103987
924	61027	103911
925	61086	103833
926	61144	103753
927	61200	103671
928	61262	103599
929	61325	103527
930	61383	103447
931	61440	103367
932	61497	103286
933	61552	103203
934	61615	103131
935	61675	103055
936	61745	102996
937	61867	103023
938	61929	102951
939	61988	102875
940	62047	102797
941	62107	102720
942	62161	102635
943	62218	102555
944	62281	102483
945	62340	102406
946	62401	102333
947	62464	102261
948	62526	102189
949	62591	102122
950	62649	102044
951	62708	101967
952	62765	101887
953	62827	101815
954	62885	101735
955	62945	101660
956	63020	101610
957	63113	101588
958	63177	101518
959	63237	101443
960	63297	101368
961	63363	101302
962	63435	101246
963	63508	101191
964	63568	101116
965	63633	101049
966	63706	100994
967	63776	100935
968	63832	100853
969	63889	100773
970	63945	100692
971	64005	100616
972	64064	100541
973	64124	100466
974	64181	100386
975	64243	100314
976	64299	100232
977	64355	100152
978	64410	100070
979	64471	99996
980	64527	99915
981	64602	99864
982	64699	99846
983	64776	99797
984	64850	99745
985	64920	99685
986	64977	99606
987	65040	99535
988	65109	99475
989	65169	99399
990	65232	99330
991	65291	99253
992	65350	99176
993	65408	99099
994	65467	99023
995	65526	98947
996	65588	98875
997	65648	98801
998	65705	98722
999	65762	98644
1000	65821	98567
1001	65877	98487
1002	65934	98409
1003	65993	98333
1004	66055	98261
1005	66117	98190
1006	66179	98118
1007	66239	98044
1008	66298	97968
1009	66363	97902
1010	66425	97831
1011	66486	97758
1012	66546	97685
1013	66608	97613
1014	66665	97535
1015	66723	97458
1016	66780	97380
1017	66839	97304
1018	66897	97227
1019	66954	97150
1020	67013	97075
1021	67073	97000
1022	67130	96922
1023	67190	96848
1024	67250	96774
1025	67311	96702
1026	67371	96629
1027	67432	96557
1028	67494	96485
1029	67555	96414
1030	67616	96342
1031	67677	96269
1032	67734	96192
1033	67793	96116
1034	67850	96038
1035	67910	95965
1036	67969	95891
1037	68035	95826
1038	68092	95749
1039	68150	95672
1040	68219	95612
1041	68276	95534
1042	68333	95456
1043	68394	95385
1044	68449	95305
1045	68510	95232
1046	68569	95159
1047	68630	95087
1048	68690	95014
1049	68750	94941
1050	68808	94865
1051	68866	94790
1052	68923	94712
1053	68983	94639
1054	69044	94567
1055	69103	94493
1056	69162	94420
1057	69224	94349
1058	69282	94274
1059	69338	94196
1060	69396	94120
1061	69453	94044
1062	69513	93971
1063	69570	93894
1064	69629	93820
1065	69689	93747
1066	69749	93674
1067	69807	93599
1068	69867	93527
1069	69962	93500
1070	70097	93529
1071	70163	93464
1072	70221	93388
1073	70276	93309
1074	70335	93235
1075	70393	93160
1076	70450	93083
1077	70505	93005
1078	70567	92934
1079	70626	92860
1080	70682	92783
1081	70736	92702
1082	70801	92636
1083	70865	92569
1084	70981	92569
1085	71077	92545
1086	71144	92480
1087	71233	92446
1088	71293	92373
1089	71352	92300
1090	71419	92236
1091	71481	92166
1092	71543	92097
1093	71603	92024
1094	71664	91953
1095	71729	91887
1096	71792	91818
1097	71853	91746
1098	71914	91676
1099	71969	91597
1100	72027	91523
1101	72088	91452
1102	72195	91439
1103	72328	91458
1104	72384	91381
1105	72441	91305
1106	72498	91229
1107	72562	91161
1108	72635	91105
1109	72699	91037
1110	72772	90981
1111	72849	90930
1112	72914	90864
1113	72981	90801
1114	73045	90733
1115	73108	90665
1116	73177	90603
1117	73249	90546
1118	73317	90483
1119	73380	90415
1120	73444	90347
1121	73511	90284
1122	73569	90209
1123	73624	90130
1124	73683	90057
1125	73741	89983
1126	73798	89907
1127	73862	89840
1128	73930	89776
1129	73996	89712
1130	74060	89644
1131	74124	89578
1132	74186	89508
1133	74251	89442
1134	74313	89373
1135	74377	89305
1136	74444	89242
1137	74511	89177
1138	74576	89111
1139	74640	89044
1140	74706	88979
1141	74777	88920
1142	74852	88866
1143	74918	88801
1144	74986	88739
1145	75058	88681
1146	75132	88626
1147	75191	88553
1148	75250	88480
1149	75309	88406
1150	75366	88331
1151	75424	88256
1152	75484	88184
1153	75550	88120
1154	75606	88043
1155	75662	87967
1156	75723	87897
1157	75781	87822
1158	75840	87750
1159	75901	87679
1160	75965	87611
1161	76021	87536
1162	76079	87461
1163	76136	87387
1164	76194	87313
1165	76255	87242
1166	76310	87165
1167	76370	87094
1168	76437	87030
1169	76506	86969
1170	76579	86912
1171	76657	86861
1172	76737	86812
1173	76808	86752
1174	76879	86694
1175	76949	86633
1176	77030	86585
1177	77106	86532
1178	77183	86479
1179	77247	86412
1180	77307	86340
1181	77369	86272
1182	77426	86197
1183	77486	86125
1184	77547	86055
1185	77607	85983
1186	77665	85909
1187	77722	85834
1188	77784	85765
1189	77846	85696
1190	77903	85622
1191	77961	85548
1192	78025	85481
1193	78084	85408
1194	78144	85338
1195	78205	85267
1196	78264	85195
1197	78324	85123
1198	78389	85058
1199	78449	84986
1200	78508	84914
1201	78568	84843
1202	78638	84783
1203	78696	84710
1204	78758	84640
1205	78818	84570
1206	78875	84495
1207	78933	84421
1208	78994	84352
1209	79053	84280
1210	79111	84207
1211	79171	84136
1212	79236	84069
1213	79339	84045
1214	79454	84031
1215	79564	84013
1216	79637	83956
1217	79705	83893
1218	79769	83826
1219	79836	83762
1220	79897	83693
1221	79956	83620
1222	80017	83550
1223	80080	83482
1224	80142	83413
1225	80203	83343
1226	80264	83273
1227	80322	83200
1228	80386	83133
1229	80446	83063
1230	80505	82990
1231	80567	82921
1232	80627	82851
1233	80685	82778
1234	80745	82707
1235	80808	82639
1236	80869	82568
1237	80929	82498
1238	80987	82425
1239	81046	82353
1240	81103	82279
1241	81165	82211
1242	81225	82140
1243	81289	82073
1244	81350	82004
1245	81413	81935
1246	81472	81864
1247	81532	81793
1248	81594	81724
1249	81652	81652
1250	81715	81584
1251	81774	81513
1252	81834	81442
1253	81893	81370
1254	81953	81300
1255	82013	81230
1256	82078	81164
1257	82137	81092
1258	82201	81026
1259	82262	80957
1260	82324	80888
1261	82384	80817
1262	82449	80751
1263	82509	80682
1264	82569	80611
1265	82629	80541
1266	82690	80471
1267	82749	80400
1268	82807	80327
1269	82874	80264
1270	82934	80193
1271	83000	80129
1272	83064	80062
1273	83129	79997
1274	83191	79928
1275	83253	79861
1276	83317	79793
1277	83376	79723
1278	83445	79661
1279	83510	79595
1280	83570	79525
1281	83642	79466
1282	83703	79397
1283	83761	79325
1284	83825	79259
1285	83888	79192
1286	83955	79128
1287	84024	79066
1288	84087	78999
1289	84152	78933
1290	84211	78862
1291	84273	78794
1292	84334	78725
1293	84394	78654
1294	84457	78588
1295	84525	78525
1296	84584	78454
1297	84651	78390
1298	84713	78322
1299	84773	78252
1300	84836	78185
1301	84901	78119
1302	84962	78051
1303	85030	77987
1304	85090	77917
1305	85151	77848
1306	85214	77781
1307	85272	77710
1308	85333	77641
1309	85396	77573
1310	85458	77505
1311	85521	77438
1312	85587	77374
1313	85653	77309
1314	85717	77243
1315	85784	77179
1316	85849	77114
1317	85910	77046
1318	85975	76979
1319	86038	76912
1320	86101	76846
1321	86163	76778
1322	86226	76711
1323	86288	76643
